file,type,images,paths,masks,clipPaths,definitions
logo-001.svg,image,1,0,1,2,4
logo-002.svg,image,1,0,0,5,5
logo-003.svg,image,1,0,0,5,5
logo-004.svg,image+path,1,1,1,3,6
logo-005.svg,path,0,1,0,1,1
logo-006.svg,image,1,0,1,1,4
logo-007.svg,path,0,1,0,1,1
logo-008.svg,image,1,0,1,1,4
logo-009.svg,path,0,1,0,1,1
logo-010.svg,image,1,0,1,1,4
logo-011.svg,image,1,0,1,1,4
logo-012.svg,image,1,0,1,1,4
logo-013.svg,path,0,1,0,1,1
logo-014.svg,image,1,0,1,1,4
logo-015.svg,image,1,0,1,1,4
logo-016.svg,image,1,0,1,1,4
logo-017.svg,image,1,0,1,1,4
logo-018.svg,image,1,0,1,1,4
logo-019.svg,image,1,0,1,1,4
logo-020.svg,image,1,0,1,1,4
logo-021.svg,image,1,0,0,5,5
logo-022.svg,image,1,0,0,5,5
logo-023.svg,image,1,0,0,5,5
logo-024.svg,path,0,1,0,1,1
logo-025.svg,path,0,1,0,1,1
logo-026.svg,path,0,1,0,1,1
logo-027.svg,image,1,0,1,1,4
logo-028.svg,image,1,0,1,1,4
logo-029.svg,image,1,0,1,1,4
logo-030.svg,path,0,1,0,1,1
logo-031.svg,path,0,1,0,1,1
logo-032.svg,path,0,1,0,1,1
logo-033.svg,path,0,1,0,1,1
logo-034.svg,path,0,1,0,1,1
logo-035.svg,image,1,0,1,1,4
logo-036.svg,image,1,0,1,1,4
logo-037.svg,image,1,0,1,1,4
logo-038.svg,image,1,0,1,1,4
logo-039.svg,image,1,0,1,1,4
logo-040.svg,path,0,1,0,1,1
logo-041.svg,path,0,1,0,1,1
logo-042.svg,path,0,1,0,1,1
logo-043.svg,image,1,0,1,1,4
logo-044.svg,image,1,0,1,1,4
logo-045.svg,image,1,0,1,1,4
logo-046.svg,image,1,0,0,1,1
logo-047.svg,image,1,0,1,1,4
logo-048.svg,image,1,0,1,1,4
logo-049.svg,image,1,0,1,1,4
logo-050.svg,image,1,0,1,1,4
logo-051.svg,path,0,1,0,1,1
logo-052.svg,path,0,1,0,1,1
logo-053.svg,path,0,1,0,1,1
logo-054.svg,image,1,0,1,1,4
logo-055.svg,image,1,0,1,1,4
logo-056.svg,image,1,0,1,1,4
logo-057.svg,image,1,0,1,1,4
logo-058.svg,image,1,0,1,1,4
logo-059.svg,image,1,0,1,1,4
logo-060.svg,image,1,0,0,1,1
logo-061.svg,image,1,0,1,1,4
