# Captura puntual de solo lectura (2026-07-17T13:53:23.440Z). No es fuente automática de producción.
empresa,departamento,municipio,clientes_total,clientes_activos
"La Nieve","AMAZONAS","LETICIA",2,0
"La Nieve","ANTIOQUIA","MEDELLÍN",5,2
"La Nieve","ANTIOQUIA","ITAGÜÍ",2,1
"La Nieve","ANTIOQUIA","SANTA FÉ DE ANTIOQUIA",2,0
"La Nieve","ANTIOQUIA","TURBO",1,0
"La Nieve","ANTIOQUIA","VALDIVIA",1,1
"La Nieve","ANTIOQUIA","JERICÓ",1,0
"La Nieve","ANTIOQUIA","LA ESTRELLA",1,0
"La Nieve","ANTIOQUIA","RIONEGRO",1,1
"La Nieve","ANTIOQUIA","SABANETA",1,1
"La Nieve","ANTIOQUIA","APARTADÓ",1,1
"La Nieve","ANTIOQUIA","ARBOLETES",1,1
"La Nieve","ANTIOQUIA","BARBOSA",1,0
"La Nieve","ANTIOQUIA","GRANADA",1,0
"La Nieve","ARAUCA","TAME",57,26
"La Nieve","ARAUCA","ARAUCA",18,13
"La Nieve","ARAUCA","SARAVENA",5,3
"La Nieve","ARAUCA","ARAUQUITA",4,3
"La Nieve","ATLÁNTICO","BARRANQUILLA",3,3
"La Nieve","BOGOTÁ","BOGOTÁ, D.C.",17189,14116
"La Nieve","BOLÍVAR","EL CARMEN DE BOLÍVAR",3,2
"La Nieve","BOLÍVAR","CARTAGENA DE INDIAS",2,2
"La Nieve","BOYACÁ","TUNJA",5402,2781
"La Nieve","BOYACÁ","SOGAMOSO",4581,2073
"La Nieve","BOYACÁ","DUITAMA",4163,2223
"La Nieve","BOYACÁ","CHIQUINQUIRÁ",1352,699
"La Nieve","BOYACÁ","PAIPA",936,569
"La Nieve","BOYACÁ","VILLA DE LEYVA",411,230
"La Nieve","BOYACÁ","NOBSA",338,198
"La Nieve","BOYACÁ","GARAGOA",250,152
"La Nieve","BOYACÁ","AQUITANIA",245,112
"La Nieve","BOYACÁ","PUERTO BOYACÁ",241,20
"La Nieve","BOYACÁ","VENTAQUEMADA",230,104
"La Nieve","BOYACÁ","SAMACÁ",216,130
"La Nieve","BOYACÁ","BELÉN",208,124
"La Nieve","BOYACÁ","MONIQUIRÁ",201,97
"La Nieve","BOYACÁ","GUATEQUE",188,112
"La Nieve","BOYACÁ","SANTA ROSA DE VITERBO",186,107
"La Nieve","BOYACÁ","TIBASOSA",164,98
"La Nieve","BOYACÁ","SOATÁ",158,114
"La Nieve","BOYACÁ","TOCA",107,57
"La Nieve","BOYACÁ","RAMIRIQUI",106,55
"La Nieve","BOYACÁ","SOCHA",105,72
"La Nieve","BOYACÁ","TUTA",95,55
"La Nieve","BOYACÁ","GÁMEZA",87,45
"La Nieve","BOYACÁ","MIRAFLORES",86,35
